date,estimated-transaction-volume-usd
2010-08-28,861.929599853
2010-09-01,1010.300400006
2010-09-05,1828.3764
2010-09-09,1023.925200006
2010-09-13,1688.811
2010-09-17,4175.8764
2010-09-21,989.0634
2010-09-25,1421.9406
2010-09-29,1472.1138
2010-10-03,2186.6442
2010-10-07,5650.5246
2010-10-11,2945.2368
2010-10-15,4345.6589
2010-10-19,3621.433
2010-10-23,2386.8284
2010-10-27,16422.7108
2010-10-31,8933.9349
2010-11-04,33948.6606
2010-11-08,195629.0635
2010-11-12,3352.9536
2010-11-16,8488.5948
2010-11-20,12329.6376
2010-11-24,7007.7021
2010-11-28,3426.962
2010-12-02,8956.0068
2010-12-06,15232.9082756668
2010-12-10,2885.0878
2010-12-14,3396.48566366581
2010-12-18,6476.2425
2010-12-22,6122.8469817396
2010-12-26,2132.7725
2010-12-30,7736.61
2011-01-03,7795.668
2011-01-07,6019.13819997
2011-01-11,20325.5501291403
2011-01-15,6301.2446137344
2011-01-19,13865.6361089902
2011-01-23,21588.5585
2011-01-27,307395.0474
2011-01-31,21670.848
2011-02-04,23196.5994
2011-02-08,18527.715
2011-02-12,24978.4888
2011-02-16,20771.3808
2011-02-20,44346.16951424
2011-02-24,34667.770038528
2011-02-28,43059.0725280768
2011-03-04,41221.1453553542
2011-03-08,54794.4247013618
2011-03-12,67375.3193125335
2011-03-16,65572.091980992
2011-03-20,40848.7307101824
2011-03-24,75721.6674177536
2011-03-28,57720.2313250089
2011-04-01,40891.555531016
2011-04-05,44486.5554210077
2011-04-09,47869.133679
2011-04-13,65569.8699556128
2011-04-17,755347.565075
2011-04-21,108090.690092508
2011-04-25,88128.1714538231
2011-04-29,559191.015360202
2011-05-03,374971.175413762
2011-05-07,343592.061632376
2011-05-11,576071.732143705
2011-05-15,1875060.75015349
2011-05-19,443972.4565012
2011-05-23,619627.048335705
2011-05-27,3150703.9478684
2011-05-31,664318.815737923
2011-06-04,1294393.03564407
2011-06-08,4425441.50301674
2011-06-12,18153841.748203
2011-06-16,3409788.05959035
2011-06-20,1618541.93204128
2011-06-24,1477353.33749956
2011-06-28,1976506.9173533
2011-07-02,1494932.73511047
2011-07-06,1160180.08797143
2011-07-10,932825.84226697
2011-07-14,747156.017040433
2011-07-18,2794117.77402732
2011-07-22,917648.66373393
2011-07-26,940064.977532378
2011-07-30,673707.231122994
2011-08-03,1257398.02275948
2011-08-07,1082531.72748791
2011-08-11,643738.345246823
2011-08-29,460437.666427141
2011-09-02,470740.501938584
2011-09-06,672957.432444304
2011-09-10,413447.325286955
2011-09-14,461287.989829988
2011-09-18,293308.951666173
2011-09-22,460343.188085137
2011-09-26,338462.891663134
2011-09-30,302636.757167051
2011-10-04,396881.127812391
